"input_gene","RNA_assay","SCT_assay"
"Spopl","Spopl","Spopl"
"Hnmt","Hnmt","Hnmt"
"Il36b","Il36b","Il36b"
"Il1rn","Il1rn","Il1rn"
"Psd4","Psd4","Psd4"
"Pax8","Pax8","Pax8"
"Cacna1b","Cacna1b","Cacna1b"
"Ehmt1","Ehmt1","Ehmt1"
"Arrdc1","Arrdc1","Arrdc1"
"Zmynd19","Zmynd19","Zmynd19"
"Dph7","Dph7","Dph7"
"Pnpla7","Pnpla7","Pnpla7"
"Nsmf","Nsmf","Nsmf"
"Noxa1","Noxa1","Noxa1"
"Nrarp","Nrarp","Nrarp"
"LOC108350588","Rpl23",NA
"Tor4a","Tor4a","Tor4a"
"Nelfb","Nelfb","Nelfb"
"Stpg3","Stpg3","Stpg3"
"Fam166a","Fam166a","Fam166a"
"Tubb4b","Tubb4b","Tubb4b"
"Rnf224","Rnf224",NA
"Cysrt1","Cysrt1","Cysrt1"
"Rnf208","Rnf208","Rnf208"
"Ndor1","Ndor1","Ndor1"
"Tmem203","Tmem203","Tmem203"
"Tprn","Tprn","Tprn"
"Ssna1","Ssna1","Ssna1"
"Anapc2","Anapc2","Anapc2"
"Tmem210","Tmem210","Tmem210"
"Grin1","Grin1","Grin1"
"Man1b1","Man1b1","Man1b1"
"Dpp7","Dpp7","Dpp7"
"Uap1l1","Uap1l1","Uap1l1"
"Sapcd2","Sapcd2","Sapcd2"
"Fut7","Fut7","Fut7"
"Abca2","Abca2","Abca2"
"Clic3","Clic3","Clic3"
"Paxx","Paxx","Paxx"
"Ptgds","Ptgds","Ptgds"
"Fbxw5","Fbxw5","Fbxw5"
"Traf2","Traf2","Traf2"
"Edf1","Edf1","Edf1"
"Ajm1","Ajm1","Ajm1"
"Rabl6","Rabl6","Rabl6"
"Tmem141","Tmem141","Tmem141"
"Fcna","Fcna","Fcna"
"Lcn8","Lcn8",NA
"Bmyc","Bmyc","Bmyc"
"Lcn15l1","Gm13539",NA
"Glt6d1","Glt6d1",NA
"Kcnt1","Kcnt1","Kcnt1"
"Camsap1","Camsap1","Camsap1"
"Ubac1","Ubac1","Ubac1"
"Nacc2","Nacc2","Nacc2"
"Tmem250","Tmem250-ps","Tmem250-ps"
"Lhx3","Lhx3","Lhx3"
"Qsox2","Qsox2","Qsox2"
"Ccdc187","Ccdc187","Ccdc187"
"Gpsm1","Gpsm1","Gpsm1"
"Snapc4","Snapc4","Snapc4"
"Pmpca","Pmpca","Pmpca"
"Inpp5e","Inpp5e","Inpp5e"
"Sec16a","Sec16a","Sec16a"
"Notch1","Notch1","Notch1"
"Egfl7","Egfl7","Egfl7"
"Agpat2","Agpat2","Agpat2"
"Dipk1b","Dipk1b","Dipk1b"
"LOC120102017","Snora43","Snora43"
"Abo","Abo","Abo"
"Surf6","Surf6","Surf6"
"Med22","Med22","Med22"
"Surf2","Surf2","Surf2"
"Stkld1","Stkld1","Stkld1"
"Rexo4","Rexo4","Rexo4"
"Cacfd1","Cacfd1","Cacfd1"
"Slc2a6","Slc2a6","Slc2a6"
"Adamtsl2","Adamtsl2","Adamtsl2"
"Fam163b","Fam163b","Fam163b"
"Dbh","Dbh","Dbh"
"Sardh","Sardh","Sardh"
"Vav2","Vav2","Vav2"
"Brd3","Brd3","Brd3"
"Wdr5","Wdr5","Wdr5"
"LOC120102096","Gm25541","Gm25541"
"Rxra","Rxra","Rxra"
"Col5a1","Col5a1","Col5a1"
"Fcnb","Fcnb","Fcnb"
"Olfm1","Olfm1","Olfm1"
"Ppp1r26","Ppp1r26","Ppp1r26"
"Mrps2","Mrps2","Mrps2"
"Ralgds","Ralgds","Ralgds"
"Cel","Cel","Cel"
"Gtf3c5","Gtf3c5","Gtf3c5"
"Gfi1b","Gfi1b","Gfi1b"
"Tsc1","Tsc1","Tsc1"
"Spaca9","Spaca9","Spaca9"
"Ak8","Ak8","Ak8"
"Gtf3c4","Gtf3c4","Gtf3c4"
"Ddx31","Ddx31","Ddx31"
"Barhl1","Barhl1","Barhl1"
"Cfap77","Cfap77","Cfap77"
"Ttf1","Ttf1","Ttf1"
"Setx","Setx","Setx"
"Ntng2","Ntng2","Ntng2"
"Med27","Med27","Med27"
"Rapgef1","Rapgef1","Rapgef1"
"Prrt1b","Gm13420","Gm13420"
"Trub2","Trub2","Trub2"
"Coq4","Coq4","Coq4"
"Slc27a4","Slc27a4","Slc27a4"
"Cercam","Cercam","Cercam"
"Odf2","Odf2","Odf2"
"Gle1","Gle1","Gle1"
"Sptan1","Sptan1","Sptan1"
"Dync2i2","Dync2i2","Dync2i2"
"Zdhhc12","Zdhhc12","Zdhhc12"
"Zer1","Zer1","Zer1"
"Tbc1d13","Tbc1d13","Tbc1d13"
"Endog","Endog","Endog"
"Spout1","Spout1","Spout1"
"Kyat1","Kyat1","Kyat1"
"Lrrc8a","Lrrc8a","Lrrc8a"
"Phyhd1","Phyhd1","Phyhd1"
"Dolk","Dolk","Dolk"
"Nup188","Nup188","Nup188"
"Sh3glb2","Sh3glb2","Sh3glb2"
"Miga2","Miga2","Miga2"
"Dolpp1","Dolpp1","Dolpp1"
"Crat","Crat","Crat"
"Ptpa","Ptpa","Ptpa"
"Ier5l","Ier5l","Ier5l"
"LOC100361008","Cox5a","Cox5a"
"Ntmt1","Ntmt1","Ntmt1"
"Asb6","Asb6","Asb6"
"Prrx2","Prrx2","Prrx2"
"Tor1b","Tor1b","Tor1b"
"Tor1a","Tor1a","Tor1a"
"Usp20","Usp20","Usp20"
"Fnbp1","Fnbp1","Fnbp1"
"Gpr107","Gpr107","Gpr107"
"Hmcn2","Hmcn2","Hmcn2"
"Ass1","Ass1","Ass1"
"Fubp3","Fubp3","Fubp3"
"Exosc2","Exosc2","Exosc2"
"Abl1","Abl1","Abl1"
"Fibcd1","Fibcd1","Fibcd1"
"Lamc3","Lamc3","Lamc3"
"Aif1l","Aif1l","Aif1l"
"Nup214","Nup214","Nup214"
"Fam78a","Fam78a","Fam78a"
"Plpp7","Plpp7","Plpp7"
"Prrc2b","Prrc2b","Prrc2b"
"Pomt1","Pomt1","Pomt1"
"Uck1","Uck1","Uck1"
"Swi5","Swi5","Swi5"
"Golga2","Golga2","Golga2"
"Dnm1","Dnm1","Dnm1"
"Ciz1","Ciz1","Ciz1"
"Lcn2","Lcn2","Lcn2"
"Ptges2","Ptges2","Ptges2"
"Slc25a25","Slc25a25","Slc25a25"
"Naif1","Naif1","Naif1"
"Fam102a","Eeig1","Eeig1"
"Dpm2","Dpm2","Dpm2"
"Pip5kl1","Pip5kl1","Pip5kl1"
"St6galnac4","St6galnac4","St6galnac4"
"St6galnac6","St6galnac6","St6galnac6"
"Ak1","Ak1","Ak1"
"Eng","Eng","Eng"
"Fpgs","Fpgs","Fpgs"
"Cdk9","Cdk9","Cdk9"
"Sh2d3c","Sh2d3c","Sh2d3c"
"Ttc16","Ttc16","Ttc16"
"Tor2a","Tor2a","Tor2a"
"Ptrh1","Ptrh1","Ptrh1"
"Cfap157","Cfap157","Cfap157"
"Stxbp1","Stxbp1","Stxbp1"
"Niban2","Niban2","Niban2"
"Lrsam1","Lrsam1","Lrsam1"
"Slc2a8","Slc2a8","Slc2a8"
"Garnl3","Garnl3","Garnl3"
"Ralgps1","Ralgps1","Ralgps1"
"Angptl2","Angptl2","Angptl2"
"Zbtb34","Zbtb34","Zbtb34"
"Zbtb43","Zbtb43","Zbtb43"
"Mvb12b","Mvb12b","Mvb12b"
"Mapkap1","Mapkap1","Mapkap1"
"Gapvd1","Gapvd1","Gapvd1"
"Hspa5","Hspa5","Hspa5"
"Rabepk","Rabepk","Rabepk"
"Fbxw2","Fbxw2","Fbxw2"
"B3galt9","B3galt9",NA
"Psmd5","Psmd5","Psmd5"
"RGD1564854","Cutal","Cutal"
"Phf19","Phf19","Phf19"
"Traf1","Traf1","Traf1"
"C5","Hc","Hc"
"RGD1308742","AI182371",NA
"Cntrl","Cntrl","Cntrl"
"Rab14","Rab14","Rab14"
"Gsn","Gsn","Gsn"
"Stom","Stom","Stom"
"LOC502618","4930402F06Rik",NA
"Ggta1","Ggta1","Ggta1"
"Dab2ip","Dab2ip","Dab2ip"
"Ttll11","Ttll11","Ttll11"
"Ndufa8","Ndufa8","Ndufa8"
"Morn5","Morn5","Morn5"
"Lhx6","Lhx6","Lhx6"
"Rbm18","Rbm18","Rbm18"
"Mrrf","Mrrf","Mrrf"
"Ptgs1","Ptgs1","Ptgs1"
"Pdcl","Pdcl","Pdcl"
"Rc3h2","Rc3h2","Rc3h2"
"Zbtb6","Zbtb6","Zbtb6"
"Zbtb26","Zbtb26","Zbtb26"
"Rabgap1","Rabgap1","Rabgap1"
"Gpr21","Gpr21","Gpr21"
"Strbp","Strbp","Strbp"
"Crb2","Crb2","Crb2"
"Dennd1a","Dennd1a","Dennd1a"
"Lhx2","Lhx2","Lhx2"
"Nek6","Nek6","Nek6"
"Psmb7","Psmb7","Psmb7"
"Nr5a1","Nr5a1","Nr5a1"
"Nr6a1","Nr6a1","Nr6a1"
"Olfml2a","Olfml2a","Olfml2a"
"Wdr38","Wdr38","Wdr38"
"Arpc5l","Arpc5l","Arpc5l"
"Golga1","Golga1","Golga1"
"Scai","Scai","Scai"
"Ppp6c","Ppp6c","Ppp6c"
"Lrp1b","Lrp1b","Lrp1b"
"Kynu","Kynu",NA
"Arhgap15","Arhgap15","Arhgap15"
"Gtdc1","Gtdc1","Gtdc1"
"Zeb2","Zeb2","Zeb2"
"Acvr2a","Acvr2a","Acvr2a"
"Orc4","Orc4","Orc4"
"Mbd5","Mbd5","Mbd5"
"Kif5c","Kif5c","Kif5c"
"Lypd6b","Lypd6b","Lypd6b"
"Ns5atp4","4933434E20Rik",NA
"Lypd6","Lypd6","Lypd6"
"Mmadhc","Mmadhc","Mmadhc"
"Rnd3","Rnd3","Rnd3"
"Nmi","Nmi","Nmi"
"Tnfaip6","Tnfaip6","Tnfaip6"
"Rif1","Rif1","Rif1"
"Neb","Neb","Neb"
"Arl5a","Arl5a","Arl5a"
"Cacnb4","Cacnb4","Cacnb4"
"Stam2","Stam2","Stam2"
"Fmnl2","Fmnl2","Fmnl2"
"Prpf40a","Prpf40a","Prpf40a"
"Arl6ip6","Arl6ip6","Arl6ip6"
"Rprm","Rprm","Rprm"
"Galnt13","Galnt13","Galnt13"
"Kcnj3","Kcnj3","Kcnj3"
"Nr4a2","Nr4a2","Nr4a2"
"Gpd2","Gpd2","Gpd2"
"Galnt5","Galnt5","Galnt5"
"Ermn","Ermn","Ermn"
"Cytip","Cytip","Cytip"
"Acvr1c","Acvr1c","Acvr1c"
"Acvr1","Acvr1","Acvr1"
"Upp2","Upp2","Upp2"
"Ccdc148","Ccdc148","Ccdc148"
"Pkp4","Pkp4","Pkp4"
"Dapl1","Dapl1","Dapl1"
"Tanc1","Tanc1","Tanc1"
"Wdsub1","Wdsub1","Wdsub1"
"Baz2b","Baz2b","Baz2b"
"Marchf7","Marchf7","Marchf7"
"Cd302","Cd302","Cd302"
"Ly75","Ly75","Ly75"
"Pla2r1","Pla2r1","Pla2r1"
"Itgb6","Itgb6","Itgb6"
"Rbms1","Rbms1","Rbms1"
"Tank","Tank","Tank"
"Psmd14","Psmd14","Psmd14"
"Tbr1","Tbr1","Tbr1"
"Slc4a10","Slc4a10","Slc4a10"
"Dpp4","Dpp4","Dpp4"
"Gcg","Gcg","Gcg"
"Fap","Fap","Fap"
"Ifih1","Ifih1","Ifih1"
"Gca","Gca","Gca"
"Kcnh7","Kcnh7","Kcnh7"
"Fign","Fign","Fign"
"Grb14","Grb14","Grb14"
"Cobll1","Cobll1","Cobll1"
"Slc38a11","Slc38a11","Slc38a11"
"Scn3a","Scn3a","Scn3a"
"Scn2a","Scn2a","Scn2a"
"Csrnp3","Csrnp3","Csrnp3"
"Galnt3","Galnt3","Galnt3"
"Ttc21b","Ttc21b","Ttc21b"
"Scn1a","Scn1a","Scn1a"
"Scn9a","Scn9a","Scn9a"
"Scn7a","Scn7a","Scn7a"
"Xirp2","Xirp2","Xirp2"
"B3galt1","B3galt1","B3galt1"
"Stk39","Stk39","Stk39"
"Cers6","Cers6","Cers6"
"Nostrin","Nostrin","Nostrin"
"Spc25","Spc25","Spc25"
"Abcb11","Abcb11",NA
"Dhrs9","Dhrs9","Dhrs9"
"Lrp2","Lrp2","Lrp2"
"Bbs5","Bbs5","Bbs5"
"Klhl41","Klhl41","Klhl41"
"Fastkd1","Fastkd1","Fastkd1"
"Ppig","Ppig","Ppig"
"Phospho2","Phospho2","Phospho2"
"Klhl23","Klhl23","Klhl23"
"Mettl5","Mettl5","Mettl5"
"Ubr3","Ubr3","Ubr3"
"Myo3b","Myo3b",NA
"Sp5","Sp5","Sp5"
"Erich2","Erich2","Erich2"
"Gad1","Gad1","Gad1"
"Gorasp2","Gorasp2","Gorasp2"
"Tlk1","Tlk1","Tlk1"
"Mettl8","Mettl8","Mettl8"
"Dcaf17","Dcaf17","Dcaf17"
"Cybrd1","Cybrd1","Cybrd1"
"Dync1i2","Dync1i2","Dync1i2"
"Slc25a12","Slc25a12","Slc25a12"
"Hat1","Hat1","Hat1"
"Metap1d","Metap1d","Metap1d"
"Dlx1","Dlx1","Dlx1"
"Dlx2","Dlx2",NA
"Itga6","Itga6","Itga6"
"Pdk1","Pdk1","Pdk1"
"Rapgef4","Rapgef4","Rapgef4"
"Map3k20","Map3k20","Map3k20"
"Cdca7","Cdca7","Cdca7"
"Sp3","Sp3","Sp3"
"Ola1","Ola1","Ola1"
"Sp9","Sp9",NA
"Cir1","Cir1","Cir1"
"Scrn3","Scrn3","Scrn3"
"Gpr155","Gpr155","Gpr155"
"Wipf1","Wipf1","Wipf1"
"Chrna1","Chrna1","Chrna1"
"Chn1","Chn1","Chn1"
"Atf2","Atf2","Atf2"
"Atp5mc3","Atp5mc3","Atp5mc3"
"Lnpk","Lnpk","Lnpk"
"Hoxd8","Hoxd8",NA
"Hoxd1","Hoxd1","Hoxd1"
"Mtx2","Mtx2","Mtx2"
"Hnrnpa3","Hnrnpa3","Hnrnpa3"
"Nfe2l2","Nfe2l2","Nfe2l2"
"Agps","Agps","Agps"
"Rbm45","Rbm45","Rbm45"
"Osbpl6","Osbpl6","Osbpl6"
"Prkra","Prkra","Prkra"
"Pjvk","Pjvk","Pjvk"
"Fkbp7","Fkbp7","Fkbp7"
"Plekha3","Plekha3","Plekha3"
"Ttn","Ttn","Ttn"
"Ccdc141","Ccdc141","Ccdc141"
"Sestd1","Sestd1","Sestd1"
"Zfp385b","Zfp385b","Zfp385b"
"Ube2e3","Ube2e3","Ube2e3"
"Itga4","Itga4","Itga4"
"Cerkl","Cerkl","Cerkl"
"Neurod1","Neurod1","Neurod1"
"Itprid2","Itprid2","Itprid2"
"Ppp1r1c","Ppp1r1c","Ppp1r1c"
"Pde1a","Pde1a","Pde1a"
"Dnajc10","Dnajc10","Dnajc10"
"Frzb","Frzb","Frzb"
"Nckap1","Nckap1","Nckap1"
"Dusp19","Dusp19","Dusp19"
"Nup35","Nup35","Nup35"
"Zfp804a","Zfp804a","Zfp804a"
"Itgav","Itgav","Itgav"
"Fam171b","Fam171b","Fam171b"
"Zswim2","Zswim2","Zswim2"
"Calcrl","Calcrl","Calcrl"
"Tfpi","Tfpi","Tfpi"
"Ctnnd1","Ctnnd1","Ctnnd1"
"Tmx2","Tmx2","Tmx2"
"Med19","Med19","Med19"
"Zdhhc5","Zdhhc5","Zdhhc5"
"Clp1","Clp1","Clp1"
"Ypel4","Ypel4","Ypel4"
"Serping1","Serping1","Serping1"
"Ube2l6","Ube2l6","Ube2l6"
"Smtnl1","Smtnl1","Smtnl1"
"Timm10","Timm10","Timm10"
"Slc43a1","Slc43a1","Slc43a1"
"Rtn4rl2","Rtn4rl2","Rtn4rl2"
"Slc43a3","Slc43a3","Slc43a3"
"Prg2","Prg2","Prg2"
"Prg3","Prg3",NA
"P2rx3","P2rx3","P2rx3"
"Ssrp1","Ssrp1","Ssrp1"
"Tnks1bp1","Tnks1bp1","Tnks1bp1"
"Aplnr","Aplnr","Aplnr"
"Lrrc55","Lrrc55","Lrrc55"
"Fads2b","Fads2b",NA
"Ptprj","Ptprj","Ptprj"
"Nup160","Nup160","Nup160"
"Fnbp4","Fnbp4","Fnbp4"
"Agbl2","Agbl2","Agbl2"
"Mtch2","Mtch2","Mtch2"
"C1qtnf4","C1qtnf4","C1qtnf4"
"Ndufs3","Ndufs3","Ndufs3"
"Kbtbd4","Kbtbd4","Kbtbd4"
"Ptpmt1","Ptpmt1","Ptpmt1"
"Celf1","Celf1","Celf1"
"Rapsn","Rapsn","Rapsn"
"Psmc3","Psmc3","Psmc3"
"Slc39a13","Slc39a13","Slc39a13"
"Spi1","Spi1","Spi1"
"Mybpc3","Mybpc3","Mybpc3"
"Madd","Madd","Madd"
"Nr1h3","Nr1h3","Nr1h3"
"Acp2","Acp2","Acp2"
"Ddb2","Ddb2","Ddb2"
"Pacsin3","Pacsin3","Pacsin3"
"Arfgap2","Arfgap2","Arfgap2"
"Lrp4","Lrp4","Lrp4"
"Ckap5","Ckap5","Ckap5"
"F2","F2","F2"
"Arhgap1","Arhgap1","Arhgap1"
"Atg13","Atg13","Atg13"
"Ambra1","Ambra1","Ambra1"
"Chrm4","Chrm4","Chrm4"
"Mdk","Mdk","Mdk"
"Dgkz","Dgkz","Dgkz"
"Creb3l1","Creb3l1","Creb3l1"
"Phf21a","Phf21a","Phf21a"
"Large2","Large2","Large2"
"Pex16","Pex16","Pex16"
"RGD1563263","Frey1",NA
"Mapk8ip1","Mapk8ip1","Mapk8ip1"
"Cry2","Cry2","Cry2"
"Slc35c1","Slc35c1","Slc35c1"
"Chst1","Chst1","Chst1"
"Syt13","Syt13","Syt13"
"Prdm11","Prdm11","Prdm11"
"Tp53i11","Trp53i11","Trp53i11"
"Tspan18","Tspan18","Tspan18"
"Cd82","Cd82","Cd82"
"Ext2","Ext2","Ext2"
"Accs","Accs","Accs"
"Accsl","Accsl","Accsl"
"RGD1564664","Gm13889","Gm13889"
"Alkbh3","Alkbh3","Alkbh3"
"Hsd17b12","Hsd17b12","Hsd17b12"
"Ttc17","Ttc17","Ttc17"
"Api5","Api5","Api5"
"Lrrc4c","Lrrc4c","Lrrc4c"
"Iftap","Iftap","Iftap"
"Traf6","Traf6","Traf6"
"Prr5l","Prr5l","Prr5l"
"Commd9","Commd9","Commd9"
"Ldlrad3","Ldlrad3","Ldlrad3"
"Trim44","Trim44","Trim44"
"Fjx1","Fjx1","Fjx1"
"Pamr1","Pamr1","Pamr1"
"Slc1a2","Slc1a2","Slc1a2"
"Cd44","Cd44","Cd44"
"Pdhx","Pdhx","Pdhx"
"Apip","Apip","Apip"
"Ehf","Ehf","Ehf"
"Elf5","Elf5",NA
"Cat","Cat","Cat"
"Abtb2","Abtb2","Abtb2"
"Nat10","Nat10","Nat10"
"Caprin1","Caprin1","Caprin1"
"Lmo2","Lmo2","Lmo2"
"Fbxo3","Fbxo3","Fbxo3"
"RGD1563222","A930018P22Rik","A930018P22Rik"
"LOC100362814","D430041D05Rik","D430041D05Rik"
"Hipk3","Hipk3","Hipk3"
"Cstf3","Cstf3","Cstf3"
"Tcp11l1","Tcp11l1","Tcp11l1"
"Depdc7","Depdc7","Depdc7"
"Qser1","Qser1","Qser1"
"Prrg4","Prrg4","Prrg4"
"Ccdc73","Ccdc73",NA
"Eif3m","Eif3m","Eif3m"
"LOC691083","Them7","Them7"
"Rcn1","Rcn1","Rcn1"
"Pax6","Pax6","Pax6"
"Elp4","Elp4","Elp4"
"Immp1l","Immp1l","Immp1l"
"Dnajc24","Dnajc24","Dnajc24"
"Mpped2","Mpped2","Mpped2"
"Arl14ep","Arl14ep","Arl14ep"
"Kcna4","Kcna4","Kcna4"
"Mettl15","Mettl15","Mettl15"
"Kif18a","Kif18a","Kif18a"
"Bdnf","Bdnf","Bdnf"
"Lin7c","Lin7c","Lin7c"
"Lgr4","Lgr4","Lgr4"
"Ccdc34","Ccdc34","Ccdc34"
"Bbox1","Bbox1","Bbox1"
"Fibin","Fibin","Fibin"
"Slc5a12","Slc5a12",NA
"Ano3","Ano3","Ano3"
"Muc15","Muc15",NA
"LOC100363452","Rps8","Rps8"
"Lpcat4","Lpcat4","Lpcat4"
"Nutm1","Nutm1",NA
"Slc12a6","Slc12a6","Slc12a6"
"Emc4","Emc4","Emc4"
"Katnbl1","Katnbl1","Katnbl1"
"Emc7","Emc7","Emc7"
"Aven","Aven","Aven"
"Tmco5b","Tmco5b","Tmco5b"
"Fmn1","Fmn1","Fmn1"
"Grem1","Grem1","Grem1"
"Scg5","Scg5","Scg5"
"Arhgap11a","Arhgap11a","Arhgap11a"
"Gjd2","Gjd2","Gjd2"
"Actc1","Actc1","Actc1"
"Aqr","Aqr","Aqr"
"Zfp770","Zfp770","Zfp770"
"Dph6","Dph6","Dph6"
"Cdin1","Cdin1","Cdin1"
"Meis2","Meis2","Meis2"
"Tmco5a","Tmco5","Tmco5"
"Spred1","Spred1","Spred1"
"Fam98b","Fam98b","Fam98b"
"Rasgrp1","Rasgrp1","Rasgrp1"
"Thbs1","Thbs1","Thbs1"
"Fsip1","Fsip1","Fsip1"
"Gpr176","Gpr176","Gpr176"
"Eif2ak4","Eif2ak4","Eif2ak4"
"Srp14","Srp14","Srp14"
"Bmf","Bmf","Bmf"
"Bub1b","Bub1b","Bub1b"
"Pak6","Pak6","Pak6"
"Ankrd63","Ankrd63","Ankrd63"
"Plcb2","Plcb2","Plcb2"
"Ccdc9b","Ccdc9b","Ccdc9b"
"Disp2","Disp2","Disp2"
"Knstrn","Knstrn","Knstrn"
"Ivd","Ivd","Ivd"
"Bahd1","Bahd1","Bahd1"
"Chst14","Chst14","Chst14"
"Ccdc32","Ccdc32","Ccdc32"
"Rpusd2","Rpusd2","Rpusd2"
"Knl1","Knl1","Knl1"
"Rad51","Rad51","Rad51"
"Rmdn3","Rmdn3","Rmdn3"
"Gchfr","Gchfr","Gchfr"
"Dnajc17","Dnajc17","Dnajc17"
"LOC691418","Gm14137","Gm14137"
"Zfyve19","Zfyve19","Zfyve19"
"Spint1","Spint1","Spint1"
"Rhov","Rhov","Rhov"
"Vps18","Vps18","Vps18"
"Dll4","Dll4","Dll4"
"Chac1","Chac1","Chac1"
"Ino80","Ino80","Ino80"
"Exd1","Exd1","Exd1"
"Oip5","Oip5","Oip5"
"Nusap1","Nusap1","Nusap1"
"Ndufaf1","Ndufaf1","Ndufaf1"
"Rtf1","Rtf1","Rtf1"
"Itpka","Itpka","Itpka"
"Ltk","Ltk","Ltk"
"Rpap1","Rpap1","Rpap1"
"Tyro3","Tyro3","Tyro3"
"Mga","Mga","Mga"
"Mapkbp1","Mapkbp1","Mapkbp1"
"Jmjd7","Jmjd7","Jmjd7"
"Pla2g4b","Pla2g4b","Pla2g4b"
"Sptbn5","Sptbn5","Sptbn5"
"Ehd4","Ehd4","Ehd4"
"Pla2g4e","Pla2g4e","Pla2g4e"
"Pla2g4d","Pla2g4d","Pla2g4d"
"Pla2g4f","Pla2g4f","Pla2g4f"
"Vps39","Vps39","Vps39"
"Tmem87a","Tmem87a","Tmem87a"
"Ganc","Ganc","Ganc"
"Capn3","Capn3","Capn3"
"Zfp106","Zfp106","Zfp106"
"Snap23","Snap23","Snap23"
"Lrrc57","Lrrc57","Lrrc57"
"Stard9","Stard9","Stard9"
"Cdan1","Cdan1","Cdan1"
"Ttbk2","Ttbk2","Ttbk2"
"Ubr1","Ubr1","Ubr1"
"Tmem62","Tmem62","Tmem62"
"Ccndbp1","Ccndbp1","Ccndbp1"
"Epb42","Epb42","Epb42"
"Tgm7","Tgm7","Tgm7"
"Lcmt2","Lcmt2","Lcmt2"
"Adal","Adal","Adal"
"Tubgcp4","Tubgcp4","Tubgcp4"
"Tp53bp1","Trp53bp1","Trp53bp1"
"Map1a","Map1a","Map1a"
"Ckmt1","Ckmt1","Ckmt1"
"Catsper2","Catsper2","Catsper2"
"Pdia3","Pdia3","Pdia3"
"Ell3","Ell3","Ell3"
"Serinc4","Serinc4","Serinc4"
"Hypk","Hypk","Hypk"
"Wdr76","Wdr76","Wdr76"
"Frmd5","Frmd5","Frmd5"
"Golm2","Golm2","Golm2"
"Ctdspl2","Ctdspl2","Ctdspl2"
"Spg11","Spg11","Spg11"
"Patl2","Patl2","Patl2"
"B2m","B2m","B2m"
"Trim69","Trim69","Trim69"
"Sord","Sord","Sord"
"Duox2","Duox2","Duox2"
"Duoxa1","Duoxa1","Duoxa1"
"Duox1","Duox1","Duox1"
"Shf","Shf","Shf"
"Gatm","Gatm","Gatm"
"Spata5l1","Afg2b","Afg2b"
"Slc30a4","Slc30a4","Slc30a4"
"Sqor","Sqor","Sqor"
"Sema6d","Sema6d","Sema6d"
"Slc24a5","Slc24a5","Slc24a5"
"Ctxn2","Ctxn2","Ctxn2"
"Slc12a1","Slc12a1","Slc12a1"
"Dut","Dut","Dut"
"Fbn1","Fbn1","Fbn1"
"Cep152","Cep152","Cep152"
"Shc4","Shc4","Shc4"
"Eid1","Eid1","Eid1"
"Secisbp2l","Secisbp2l","Secisbp2l"
"Cops2","Cops2","Cops2"
"Galk2","Galk2","Galk2"
"Fam227b","Fam227b","Fam227b"
"Fgf7","Fgf7","Fgf7"
"Dtwd1","Dtwd1","Dtwd1"
"Atp8b4","Atp8b4","Atp8b4"
"Slc27a2","Slc27a2","Slc27a2"
"Hdc","Hdc","Hdc"
"Usp8","Usp8","Usp8"
"Trpm7","Trpm7","Trpm7"
"Sppl2a","Sppl2a","Sppl2a"
"Ap4e1","Ap4e1","Ap4e1"
"Blvra","Blvra","Blvra"
"Ncaph","Ncaph","Ncaph"
"Itpripl1","Itpripl1","Itpripl1"
"Snrnp200","Snrnp200","Snrnp200"
"Ciao1","Ciao1","Ciao1"
"Stard7","Stard7","Stard7"
"Dusp2","Dusp2","Dusp2"
"Astl","Astl","Astl"
"Adra2b","Adra2b","Adra2b"
"Gpat2","Gpat2","Gpat2"
"Fahd2a","Fahd2a","Fahd2a"
"Prom2","Prom2","Prom2"
"LOC100909998","Zfp661","Zfp661"
"Mrps5","Mrps5","Mrps5"
"Mal","Mal","Mal"
"Mall","Mall","Mall"
"Nphp1","Nphp1","Nphp1"
"Mtln","Mtln","Mtln"
"Bub1","Bub1","Bub1"
"Acoxl","Acoxl","Acoxl"
"Bcl2l11","Bcl2l11","Bcl2l11"
"Anapc1","Anapc1","Anapc1"
"Mertk","Mertk","Mertk"
"Tmem87b","Tmem87b","Tmem87b"
"Fbln7","Fbln7","Fbln7"
"Zc3h8","Zc3h8","Zc3h8"
"Zc3h6","Zc3h6","Zc3h6"
"RGD1561442","Vinac1",NA
"Ttl","Ttl","Ttl"
"Polr1b","Polr1b","Polr1b"
"Chchd5","Chchd5","Chchd5"
"Slc20a1","Slc20a1","Slc20a1"
"Ckap2l","Ckap2l","Ckap2l"
"Il1a","Il1a","Il1a"
"Il1b","Il1b","Il1b"
"Sirpb3","F830045P16Rik","F830045P16Rik"
"Sirpa","Sirpa","Sirpa"
"Pdyn","Pdyn","Pdyn"
"Stk35","Stk35","Stk35"
"Tgm3","Tgm3","Tgm3"
"Snrpb","Snrpb","Snrpb"
"Nop56","Nop56","Nop56"
"Idh3b","Idh3b","Idh3b"
"Ebf4","Ebf4","Ebf4"
"Cpxm1","Cpxm1","Cpxm1"
"Pced1a","Pced1a","Pced1a"
"Vps16","Vps16","Vps16"
"Ptpra","Ptpra","Ptpra"
"Mrps26","Mrps26","Mrps26"
"Oxt","Oxt","Oxt"
"Avp","Avp","Avp"
"Ubox5","Ubox5","Ubox5"
"Fastkd5","Fastkd5","Fastkd5"
"Lzts3","Lzts3","Lzts3"
"Ddrgk1","Ddrgk1","Ddrgk1"
