"input_gene","RNA_assay","SCT_assay"
"Ubac1","UBAC1","UBAC1"
"Nacc2","NACC2","NACC2"
"Tmem250","TMEM250","TMEM250"
"Lhx3","LHX3","LHX3"
"Qsox2","QSOX2","QSOX2"
"Ccdc187","CCDC187","CCDC187"
"Gpsm1","GPSM1","GPSM1"
"Snapc4","SNAPC4","SNAPC4"
"Pmpca","PMPCA","PMPCA"
"Inpp5e","INPP5E","INPP5E"
"Sec16a","SEC16A","SEC16A"
"Notch1","NOTCH1","NOTCH1"
"Egfl7","EGFL7","EGFL7"
"Agpat2","AGPAT2","AGPAT2"
"Dipk1b","DIPK1B","DIPK1B"
"LOC120102017","SNORA17B","SNORA17B"
"Abo","ABO","ABO"
"Surf6","SURF6","SURF6"
"Med22","MED22","MED22"
"Surf2","SURF2","SURF2"
"Stkld1","STKLD1","STKLD1"
"Rexo4","REXO4","REXO4"
"Cacfd1","CACFD1","CACFD1"
"Slc2a6","SLC2A6","SLC2A6"
"Adamtsl2","ADAMTSL2","ADAMTSL2"
"Fam163b","FAM163B","FAM163B"
"Dbh","DBH","DBH"
"Sardh","SARDH","SARDH"
"Vav2","VAV2","VAV2"
"Brd3","BRD3","BRD3"
"Wdr5","WDR5","WDR5"
"LOC120102096","RNU6ATAC","RNU6ATAC"
"Rxra","RXRA","RXRA"
"Col5a1","COL5A1","COL5A1"
"Fcnb","FCN1","FCN1"
"Olfm1","OLFM1","OLFM1"
"Ppp1r26","PPP1R26","PPP1R26"
"Mrps2","MRPS2","MRPS2"
"Ralgds","RALGDS","RALGDS"
"Cel","CEL","CEL"
"Gtf3c5","GTF3C5","GTF3C5"
"Gfi1b","GFI1B","GFI1B"
"Tsc1","TSC1","TSC1"
"Spaca9","SPACA9","SPACA9"
"Ak8","AK8","AK8"
"Gtf3c4","GTF3C4","GTF3C4"
"Ddx31","DDX31","DDX31"
"Barhl1","BARHL1","BARHL1"
"Cfap77","CFAP77","CFAP77"
"Ttf1","TTF1","TTF1"
"Setx","SETX","SETX"
"Ntng2","NTNG2","NTNG2"
"Med27","MED27","MED27"
"Rapgef1","RAPGEF1","RAPGEF1"
"Prrt1b","PRRT1B","PRRT1B"
"Trub2","TRUB2","TRUB2"
"Coq4","COQ4","COQ4"
"Slc27a4","SLC27A4","SLC27A4"
"Cercam","CERCAM","CERCAM"
"Odf2","ODF2","ODF2"
"Sptan1","SPTAN1","SPTAN1"
"Dync2i2","DYNC2I2","DYNC2I2"
"Zdhhc12","ZDHHC12","ZDHHC12"
"Zer1","ZER1","ZER1"
"Tbc1d13","TBC1D13","TBC1D13"
"Endog","ENDOG","ENDOG"
"Spout1","SPOUT1","SPOUT1"
"Kyat1","KYAT1","KYAT1"
"Lrrc8a","LRRC8A","LRRC8A"
"Phyhd1","PHYHD1","PHYHD1"
"Dolk","DOLK","DOLK"
"Nup188","NUP188","NUP188"
"Sh3glb2","SH3GLB2","SH3GLB2"
"Miga2","MIGA2","MIGA2"
"Dolpp1","DOLPP1","DOLPP1"
"Crat","CRAT","CRAT"
"Ptpa","PTPA","PTPA"
"Ier5l","IER5L","IER5L"
"Ntmt1","NTMT1","NTMT1"
"Asb6","ASB6","ASB6"
"Prrx2","PRRX2","PRRX2"
"Tor1b","TOR1B","TOR1B"
"Tor1a","TOR1A","TOR1A"
"Usp20","USP20","USP20"
"Fnbp1","FNBP1","FNBP1"
"Gpr107","GPR107","GPR107"
"Hmcn2","HMCN2","HMCN2"
"Ass1","ASS1","ASS1"
"Fubp3","FUBP3","FUBP3"
"Exosc2","EXOSC2","EXOSC2"
"Abl1","ABL1","ABL1"
"Fibcd1","FIBCD1","FIBCD1"
"Lamc3","LAMC3","LAMC3"
"Aif1l","AIF1L","AIF1L"
"Nup214","NUP214","NUP214"
"Fam78a","FAM78A","FAM78A"
"Plpp7","PLPP7","PLPP7"
"Prrc2b","PRRC2B","PRRC2B"
"Pomt1","POMT1","POMT1"
"Uck1","UCK1","UCK1"
"Swi5","SWI5","SWI5"
"Dnm1","DNM1","DNM1"
"Ciz1","CIZ1","CIZ1"
"Lcn2","LCN2","LCN2"
"Ptges2","PTGES2","PTGES2"
"Slc25a25","SLC25A25","SLC25A25"
"Naif1","NAIF1","NAIF1"
"Fam102a","EEIG1","EEIG1"
"Dpm2","DPM2","DPM2"
"Pip5kl1","PIP5KL1","PIP5KL1"
"St6galnac4","ST6GALNAC4","ST6GALNAC4"
"St6galnac6","ST6GALNAC6","ST6GALNAC6"
"Ak1","AK1","AK1"
"Eng","ENG","ENG"
"Fpgs","FPGS","FPGS"
"Cdk9","CDK9","CDK9"
"Sh2d3c","SH2D3C","SH2D3C"
"Ttc16","TTC16","TTC16"
"Tor2a","TOR2A","TOR2A"
"Ptrh1","PTRH1","PTRH1"
"Cfap157","CFAP157","CFAP157"
"Stxbp1","STXBP1","STXBP1"
"Niban2","NIBAN2","NIBAN2"
"Lrsam1","LRSAM1","LRSAM1"
"Slc2a8","SLC2A8","SLC2A8"
"Garnl3","GARNL3","GARNL3"
"Ralgps1","RALGPS1","RALGPS1"
"Angptl2","ANGPTL2","ANGPTL2"
"Zbtb34","ZBTB34","ZBTB34"
"Zbtb43","ZBTB43","ZBTB43"
"Mvb12b","MVB12B","MVB12B"
"Mapkap1","MAPKAP1","MAPKAP1"
"Gapvd1","GAPVD1","GAPVD1"
"Hspa5","HSPA5","HSPA5"
"Rabepk","RABEPK","RABEPK"
"Fbxw2","FBXW2","FBXW2"
"B3galt9","B3GALT9",NA
"Psmd5","PSMD5","PSMD5"
"Phf19","PHF19","PHF19"
"Traf1","TRAF1","TRAF1"
"Cntrl","CNTRL","CNTRL"
"Rab14","RAB14","RAB14"
"Gsn","GSN","GSN"
"Stom","STOM","STOM"
"Dab2ip","DAB2IP","DAB2IP"
"Ttll11","TTLL11","TTLL11"
"Ndufa8","NDUFA8","NDUFA8"
"Morn5","MORN5","MORN5"
"Lhx6","LHX6","LHX6"
"Rbm18","RBM18","RBM18"
"Mrrf","MRRF","MRRF"
"Ptgs1","PTGS1","PTGS1"
"Pdcl","PDCL","PDCL"
"Rc3h2","RC3H2","RC3H2"
"Zbtb6","ZBTB6","ZBTB6"
"Zbtb26","ZBTB26","ZBTB26"
"Rabgap1","RABGAP1","RABGAP1"
"Gpr21","GPR21","GPR21"
"Strbp","STRBP","STRBP"
"Crb2","CRB2","CRB2"
"Dennd1a","DENND1A","DENND1A"
"Lhx2","LHX2","LHX2"
"Nek6","NEK6","NEK6"
"Psmb7","PSMB7","PSMB7"
"Nr5a1","NR5A1","NR5A1"
"Nr6a1","NR6A1","NR6A1"
"Olfml2a","OLFML2A","OLFML2A"
"Wdr38","WDR38","WDR38"
"Arpc5l","ARPC5L","ARPC5L"
"Golga1","GOLGA1","GOLGA1"
"Scai","SCAI","SCAI"
"Ppp6c","PPP6C","PPP6C"
"Lrp1b","LRP1B","LRP1B"
"Kynu","KYNU",NA
"Arhgap15","ARHGAP15","ARHGAP15"
"Gtdc1","GTDC1","GTDC1"
"Zeb2","ZEB2","ZEB2"
"Acvr2a","ACVR2A","ACVR2A"
"Orc4","ORC4","ORC4"
"Mbd5","MBD5","MBD5"
"Kif5c","KIF5C","KIF5C"
"Lypd6b","LYPD6B","LYPD6B"
"Ns5atp4","C1orf43",NA
"Lypd6","LYPD6","LYPD6"
"Mmadhc","MMADHC","MMADHC"
"Rnd3","RND3","RND3"
"Nmi","NMI","NMI"
"Tnfaip6","TNFAIP6","TNFAIP6"
"Rif1","RIF1","RIF1"
"Neb","NEB","NEB"
"Arl5a","ARL5A","ARL5A"
"Cacnb4","CACNB4","CACNB4"
"Stam2","STAM2","STAM2"
"Fmnl2","FMNL2","FMNL2"
"Prpf40a","PRPF40A","PRPF40A"
"Arl6ip6","ARL6IP6","ARL6IP6"
"Rprm","RPRM","RPRM"
"Galnt13","GALNT13","GALNT13"
"Kcnj3","KCNJ3","KCNJ3"
"Nr4a2","NR4A2","NR4A2"
"Gpd2","GPD2","GPD2"
"Galnt5","GALNT5","GALNT5"
"Ermn","ERMN","ERMN"
"Cytip","CYTIP","CYTIP"
"Acvr1c","ACVR1C","ACVR1C"
"Acvr1","ACVR1","ACVR1"
"Upp2","UPP2","UPP2"
"Ccdc148","CCDC148","CCDC148"
"Pkp4","PKP4","PKP4"
"Dapl1","DAPL1","DAPL1"
"Tanc1","TANC1","TANC1"
"Wdsub1","WDSUB1","WDSUB1"
"Baz2b","BAZ2B","BAZ2B"
"Marchf7","MARCHF7","MARCHF7"
"Cd302","CD302","CD302"
"Ly75","LY75","LY75"
"Pla2r1","PLA2R1","PLA2R1"
"Itgb6","ITGB6","ITGB6"
"Rbms1","RBMS1","RBMS1"
"Tank","TANK","TANK"
"Psmd14","PSMD14","PSMD14"
"Tbr1","TBR1","TBR1"
"Slc4a10","SLC4A10","SLC4A10"
"Dpp4","DPP4","DPP4"
"Gcg","GCG","GCG"
"Fap","FAP","FAP"
"Ifih1","IFIH1","IFIH1"
"Gca","GCA","GCA"
"Kcnh7","KCNH7","KCNH7"
"Fign","FIGN","FIGN"
"Grb14","GRB14","GRB14"
"Cobll1","COBLL1","COBLL1"
"Slc38a11","SLC38A11","SLC38A11"
"Scn3a","SCN3A","SCN3A"
"Scn2a","SCN2A","SCN2A"
"Csrnp3","CSRNP3","CSRNP3"
"Galnt3","GALNT3","GALNT3"
"Ttc21b","TTC21B","TTC21B"
"Scn1a","SCN1A","SCN1A"
"Scn9a","SCN9A","SCN9A"
"Scn7a","SCN7A","SCN7A"
"RGD1560831","RPS3","RPS3"
"Xirp2","XIRP2","XIRP2"
"B3galt1","B3GALT1","B3GALT1"
"Stk39","STK39","STK39"
"Cers6","CERS6","CERS6"
"Nostrin","NOSTRIN","NOSTRIN"
"Spc25","SPC25","SPC25"
"Abcb11","ABCB11",NA
"Dhrs9","DHRS9","DHRS9"
"Lrp2","LRP2","LRP2"
"Bbs5","BBS5","BBS5"
"Klhl41","KLHL41","KLHL41"
"Fastkd1","FASTKD1","FASTKD1"
"Ppig","PPIG","PPIG"
"Phospho2","PHOSPHO2","PHOSPHO2"
"Klhl23","KLHL23","KLHL23"
"Mettl5","METTL5","METTL5"
"Ubr3","UBR3","UBR3"
"Myo3b","MYO3B",NA
"Sp5","SP5","SP5"
"Erich2","ERICH2","ERICH2"
"Gad1","GAD1","GAD1"
"Gorasp2","GORASP2","GORASP2"
"Tlk1","TLK1","TLK1"
"Mettl8","METTL8","METTL8"
"Dcaf17","DCAF17","DCAF17"
"Cybrd1","CYBRD1","CYBRD1"
"Dync1i2","DYNC1I2","DYNC1I2"
"Slc25a12","SLC25A12","SLC25A12"
"Hat1","HAT1","HAT1"
"Metap1d","METAP1D","METAP1D"
"Dlx1","DLX1","DLX1"
"Dlx2","DLX2",NA
"Itga6","ITGA6","ITGA6"
"Pdk1","PDK1","PDK1"
"Rapgef4","RAPGEF4","RAPGEF4"
"Map3k20","MAP3K20","MAP3K20"
"Cdca7","CDCA7","CDCA7"
"Sp3","SP3","SP3"
"Ola1","OLA1","OLA1"
"Sp9","SP9",NA
"Cir1","CIR1","CIR1"
"Scrn3","SCRN3","SCRN3"
"Gpr155","GPR155","GPR155"
"Wipf1","WIPF1","WIPF1"
"Chrna1","CHRNA1","CHRNA1"
"Chn1","CHN1","CHN1"
"Atf2","ATF2","ATF2"
"Atp5mc3","ATP5MC3","ATP5MC3"
"Lnpk","LNPK","LNPK"
"Hoxd8","HOXD8",NA
"Hoxd1","HOXD1","HOXD1"
"Mtx2","MTX2","MTX2"
"Nfe2l2","NFE2L2","NFE2L2"
"Agps","AGPS","AGPS"
"Rbm45","RBM45","RBM45"
"Osbpl6","OSBPL6","OSBPL6"
"Prkra","PRKRA","PRKRA"
"Pjvk","PJVK","PJVK"
"Fkbp7","FKBP7","FKBP7"
"Plekha3","PLEKHA3","PLEKHA3"
"Ttn","TTN","TTN"
"Ccdc141","CCDC141","CCDC141"
"Sestd1","SESTD1","SESTD1"
"Zfp385b","ZNF385B","ZNF385B"
"Cwc22","CWC22","CWC22"
"Ube2e3","UBE2E3","UBE2E3"
"Itga4","ITGA4","ITGA4"
"Cerkl","CERKL","CERKL"
"Neurod1","NEUROD1","NEUROD1"
"Itprid2","ITPRID2","ITPRID2"
"Ppp1r1c","PPP1R1C","PPP1R1C"
"Pde1a","PDE1A","PDE1A"
"Dnajc10","DNAJC10","DNAJC10"
"Frzb","FRZB","FRZB"
"Nckap1","NCKAP1","NCKAP1"
"Dusp19","DUSP19","DUSP19"
"Nup35","NUP35","NUP35"
"Zfp804a","ZNF804A","ZNF804A"
"Itgav","ITGAV","ITGAV"
"Fam171b","FAM171B","FAM171B"
"Zswim2","ZSWIM2","ZSWIM2"
"Calcrl","CALCRL","CALCRL"
"Tfpi","TFPI","TFPI"
"Ctnnd1","CTNND1","CTNND1"
"Tmx2","TMX2","TMX2"
"Med19","MED19","MED19"
"Zdhhc5","ZDHHC5","ZDHHC5"
"Clp1","CLP1","CLP1"
"Ypel4","YPEL4","YPEL4"
"Serping1","SERPING1","SERPING1"
"Ube2l6","UBE2L6","UBE2L6"
"Smtnl1","SMTNL1","SMTNL1"
"Timm10","TIMM10","TIMM10"
"Slc43a1","SLC43A1","SLC43A1"
"Rtn4rl2","RTN4RL2","RTN4RL2"
"Slc43a3","SLC43A3","SLC43A3"
"Prg2","PRG2","PRG2"
"Prg3","PRG3",NA
"P2rx3","P2RX3","P2RX3"
"Ssrp1","SSRP1","SSRP1"
"Tnks1bp1","TNKS1BP1","TNKS1BP1"
"Aplnr","APLNR","APLNR"
"Lrrc55","LRRC55","LRRC55"
"Ptprj","PTPRJ","PTPRJ"
"Nup160","NUP160","NUP160"
"Fnbp4","FNBP4","FNBP4"
"Agbl2","AGBL2","AGBL2"
"Mtch2","MTCH2","MTCH2"
"C1qtnf4","C1QTNF4","C1QTNF4"
"Ndufs3","NDUFS3","NDUFS3"
"Kbtbd4","KBTBD4","KBTBD4"
"Ptpmt1","PTPMT1","PTPMT1"
"Celf1","CELF1","CELF1"
"Rapsn","RAPSN","RAPSN"
"Psmc3","PSMC3","PSMC3"
"Slc39a13","SLC39A13","SLC39A13"
"Spi1","SPI1","SPI1"
"Mybpc3","MYBPC3","MYBPC3"
"Madd","MADD","MADD"
"Nr1h3","NR1H3","NR1H3"
"Acp2","ACP2","ACP2"
"Ddb2","DDB2","DDB2"
"Pacsin3","PACSIN3","PACSIN3"
"Arfgap2","ARFGAP2","ARFGAP2"
"Lrp4","LRP4","LRP4"
"Ckap5","CKAP5","CKAP5"
"F2","F2","F2"
"Arhgap1","ARHGAP1","ARHGAP1"
"Atg13","ATG13","ATG13"
"Ambra1","AMBRA1","AMBRA1"
"Chrm4","CHRM4","CHRM4"
"Mdk","MDK","MDK"
"Dgkz","DGKZ","DGKZ"
"Creb3l1","CREB3L1","CREB3L1"
"Phf21a","PHF21A","PHF21A"
"Large2","LARGE2","LARGE2"
"Pex16","PEX16","PEX16"
"RGD1563263","FREY1",NA
"Mapk8ip1","MAPK8IP1","MAPK8IP1"
"Cry2","CRY2","CRY2"
"Slc35c1","SLC35C1","SLC35C1"
"Chst1","CHST1","CHST1"
"Syt13","SYT13","SYT13"
"Prdm11","PRDM11","PRDM11"
"Tp53i11","TP53I11","TP53I11"
"Tspan18","TSPAN18","TSPAN18"
"Cd82","CD82","CD82"
"Ext2","EXT2","EXT2"
"Accs","ACCS","ACCS"
"Accsl","ACCSL","ACCSL"
"RGD1564664","C11orf96","C11orf96"
"Alkbh3","ALKBH3","ALKBH3"
"Hsd17b12","HSD17B12","HSD17B12"
"Ttc17","TTC17","TTC17"
"Api5","API5","API5"
"Lrrc4c","LRRC4C","LRRC4C"
"Iftap","IFTAP","IFTAP"
"Traf6","TRAF6","TRAF6"
"Prr5l","PRR5L","PRR5L"
"Commd9","COMMD9","COMMD9"
"Ldlrad3","LDLRAD3","LDLRAD3"
"Trim44","TRIM44","TRIM44"
"Fjx1","FJX1","FJX1"
"Pamr1","PAMR1","PAMR1"
"Slc1a2","SLC1A2","SLC1A2"
"Cd44","CD44","CD44"
"Pdhx","PDHX","PDHX"
"Apip","APIP","APIP"
"Ehf","EHF","EHF"
"Elf5","ELF5",NA
"Cat","CAT","CAT"
"Abtb2","ABTB2","ABTB2"
"Nat10","NAT10","NAT10"
"Caprin1","CAPRIN1","CAPRIN1"
"Lmo2","LMO2","LMO2"
"Fbxo3","FBXO3","FBXO3"
"Cd59","CD59","CD59"
"RGD1563222","C11orf91","C11orf91"
"LOC100362814","KIAA1549L","KIAA1549L"
"Hipk3","HIPK3","HIPK3"
"Cstf3","CSTF3","CSTF3"
"Tcp11l1","TCP11L1","TCP11L1"
"Depdc7","DEPDC7","DEPDC7"
"Qser1","QSER1","QSER1"
"Prrg4","PRRG4","PRRG4"
"Ccdc73","CCDC73",NA
"Eif3m","EIF3M","EIF3M"
"Rcn1","RCN1","RCN1"
"Pax6","PAX6","PAX6"
"Elp4","ELP4","ELP4"
"Immp1l","IMMP1L","IMMP1L"
"Dnajc24","DNAJC24","DNAJC24"
"Mpped2","MPPED2","MPPED2"
"Arl14ep","ARL14EP","ARL14EP"
"Kcna4","KCNA4","KCNA4"
"Mettl15","METTL15","METTL15"
"Kif18a","KIF18A","KIF18A"
"Bdnf","BDNF","BDNF"
"Lin7c","LIN7C","LIN7C"
"Lgr4","LGR4","LGR4"
"Ccdc34","CCDC34","CCDC34"
"Bbox1","BBOX1","BBOX1"
"Fibin","FIBIN","FIBIN"
"Slc5a12","SLC5A12",NA
"Ano3","ANO3","ANO3"
"Muc15","MUC15",NA
"Lpcat4","LPCAT4","LPCAT4"
"Nutm1","NUTM1",NA
"Slc12a6","SLC12A6","SLC12A6"
"Emc4","EMC4","EMC4"
"Katnbl1","KATNBL1","KATNBL1"
"Emc7","EMC7","EMC7"
"Aven","AVEN","AVEN"
"Fmn1","FMN1","FMN1"
"Grem1","GREM1","GREM1"
"Scg5","SCG5","SCG5"
"Gjd2","GJD2","GJD2"
"Actc1","ACTC1","ACTC1"
"Aqr","AQR","AQR"
"Zfp770","ZNF770","ZNF770"
"Dph6","DPH6","DPH6"
"Cdin1","CDIN1","CDIN1"
"Meis2","MEIS2","MEIS2"
"Tmco5a","TMCO5A","TMCO5A"
"Spred1","SPRED1","SPRED1"
"Fam98b","FAM98B","FAM98B"
"Rasgrp1","RASGRP1","RASGRP1"
"Thbs1","THBS1","THBS1"
"Fsip1","FSIP1","FSIP1"
"Gpr176","GPR176","GPR176"
"Eif2ak4","EIF2AK4","EIF2AK4"
"Srp14","SRP14","SRP14"
"Bmf","BMF","BMF"
"Bub1b","BUB1B","BUB1B"
"Pak6","PAK6","PAK6"
"Ankrd63","ANKRD63","ANKRD63"
"Plcb2","PLCB2","PLCB2"
"Ccdc9b","CCDC9B","CCDC9B"
"Disp2","DISP2","DISP2"
"Knstrn","KNSTRN","KNSTRN"
"Ivd","IVD","IVD"
"Bahd1","BAHD1","BAHD1"
"Chst14","CHST14","CHST14"
"Ccdc32","CCDC32","CCDC32"
"Rpusd2","RPUSD2","RPUSD2"
"Knl1","KNL1","KNL1"
"Rad51","RAD51","RAD51"
"Rmdn3","RMDN3","RMDN3"
"Gchfr","GCHFR","GCHFR"
"Dnajc17","DNAJC17","DNAJC17"
"LOC691418","C15orf62","C15orf62"
"Zfyve19","ZFYVE19","ZFYVE19"
"Spint1","SPINT1","SPINT1"
"Rhov","RHOV","RHOV"
"Vps18","VPS18","VPS18"
"Dll4","DLL4","DLL4"
"Chac1","CHAC1","CHAC1"
"Ino80","INO80","INO80"
"Exd1","EXD1","EXD1"
"Oip5","OIP5","OIP5"
"Nusap1","NUSAP1","NUSAP1"
"Ndufaf1","NDUFAF1","NDUFAF1"
"Rtf1","RTF1","RTF1"
"Itpka","ITPKA","ITPKA"
"Ltk","LTK","LTK"
"Rpap1","RPAP1","RPAP1"
"Tyro3","TYRO3","TYRO3"
"Mga","MGA","MGA"
"Mapkbp1","MAPKBP1","MAPKBP1"
"Jmjd7","JMJD7","JMJD7"
"Pla2g4b","PLA2G4B","PLA2G4B"
"Sptbn5","SPTBN5","SPTBN5"
"Ehd4","EHD4","EHD4"
"Pla2g4e","PLA2G4E","PLA2G4E"
"Pla2g4d","PLA2G4D","PLA2G4D"
"Pla2g4f","PLA2G4F","PLA2G4F"
"Vps39","VPS39","VPS39"
"Tmem87a","TMEM87A","TMEM87A"
"Ganc","GANC","GANC"
"Capn3","CAPN3","CAPN3"
"Zfp106","ZNF106","ZNF106"
"Snap23","SNAP23","SNAP23"
"Lrrc57","LRRC57","LRRC57"
"Cdan1","CDAN1","CDAN1"
"Ttbk2","TTBK2","TTBK2"
"Ubr1","UBR1","UBR1"
"Tmem62","TMEM62","TMEM62"
"Ccndbp1","CCNDBP1","CCNDBP1"
"Epb42","EPB42","EPB42"
"Tgm7","TGM7","TGM7"
"Lcmt2","LCMT2","LCMT2"
"Adal","ADAL","ADAL"
"Tubgcp4","TUBGCP4","TUBGCP4"
"Tp53bp1","TP53BP1","TP53BP1"
"Map1a","MAP1A","MAP1A"
"Catsper2","CATSPER2","CATSPER2"
"Pdia3","PDIA3","PDIA3"
"Ell3","ELL3","ELL3"
"Serinc4","SERINC4","SERINC4"
"Hypk","HYPK","HYPK"
"Wdr76","WDR76","WDR76"
"Frmd5","FRMD5","FRMD5"
"Golm2","GOLM2","GOLM2"
"Ctdspl2","CTDSPL2","CTDSPL2"
"Eif3j","EIF3J","EIF3J"
"Spg11","SPG11","SPG11"
"Patl2","PATL2","PATL2"
"B2m","B2M","B2M"
"Trim69","TRIM69","TRIM69"
"Sord","SORD","SORD"
"Duox2","DUOX2","DUOX2"
"Duoxa1","DUOXA1","DUOXA1"
"Duox1","DUOX1","DUOX1"
"Shf","SHF","SHF"
"Gatm","GATM","GATM"
"Spata5l1","AFG2B","AFG2B"
"Slc30a4","SLC30A4","SLC30A4"
"Sqor","SQOR","SQOR"
"Sema6d","SEMA6D","SEMA6D"
"Slc24a5","SLC24A5","SLC24A5"
"Myef2","MYEF2","MYEF2"
"Ctxn2","CTXN2","CTXN2"
"Slc12a1","SLC12A1","SLC12A1"
"Dut","DUT","DUT"
"Fbn1","FBN1","FBN1"
"Cep152","CEP152","CEP152"
"Shc4","SHC4","SHC4"
"Secisbp2l","SECISBP2L","SECISBP2L"
"Cops2","COPS2","COPS2"
"Galk2","GALK2","GALK2"
"Fam227b","FAM227B","FAM227B"
"Fgf7","FGF7","FGF7"
"Dtwd1","DTWD1","DTWD1"
"Atp8b4","ATP8B4","ATP8B4"
"Slc27a2","SLC27A2","SLC27A2"
"Hdc","HDC","HDC"
"Usp8","USP8","USP8"
"Trpm7","TRPM7","TRPM7"
"Sppl2a","SPPL2A","SPPL2A"
"Ap4e1","AP4E1","AP4E1"
"Blvra","BLVRA","BLVRA"
"Ncaph","NCAPH","NCAPH"
"Itpripl1","ITPRIPL1","ITPRIPL1"
"Snrnp200","SNRNP200","SNRNP200"
"Ciao1","CIAO1","CIAO1"
"Stard7","STARD7","STARD7"
"Dusp2","DUSP2","DUSP2"
"Astl","ASTL","ASTL"
"Adra2b","ADRA2B","ADRA2B"
"Gpat2","GPAT2","GPAT2"
"Fahd2a","FAHD2A","FAHD2A"
"Prom2","PROM2","PROM2"
"LOC100909998","ZNF2","ZNF2"
"Mrps5","MRPS5","MRPS5"
"Mal","MAL","MAL"
"Mall","MALL","MALL"
"Nphp1","NPHP1","NPHP1"
"Mtln","MTLN","MTLN"
"Bub1","BUB1","BUB1"
"Acoxl","ACOXL","ACOXL"
"Bcl2l11","BCL2L11","BCL2L11"
"Anapc1","ANAPC1","ANAPC1"
"Mertk","MERTK","MERTK"
"Tmem87b","TMEM87B","TMEM87B"
"Fbln7","FBLN7","FBLN7"
"Zc3h8","ZC3H8","ZC3H8"
"Zc3h6","ZC3H6","ZC3H6"
"Ttl","TTL","TTL"
"Polr1b","POLR1B","POLR1B"
"Chchd5","CHCHD5","CHCHD5"
"Slc20a1","SLC20A1","SLC20A1"
"Ckap2l","CKAP2L","CKAP2L"
"Il1a","IL1A","IL1A"
"Il1b","IL1B","IL1B"
"Pdyn","PDYN","PDYN"
"Stk35","STK35","STK35"
"Tgm3","TGM3","TGM3"
"Snrpb","SNRPB","SNRPB"
"Nop56","NOP56","NOP56"
"Idh3b","IDH3B","IDH3B"
"Ebf4","EBF4","EBF4"
"Cpxm1","CPXM1","CPXM1"
"Pced1a","PCED1A","PCED1A"
"Vps16","VPS16","VPS16"
"Ptpra","PTPRA","PTPRA"
"Mrps26","MRPS26","MRPS26"
"Avp","AVP","AVP"
"Ubox5","UBOX5","UBOX5"
"Fastkd5","FASTKD5","FASTKD5"
"Lzts3","LZTS3","LZTS3"
"Ddrgk1","DDRGK1","DDRGK1"
"Itpa","ITPA","ITPA"
"Slc4a11","SLC4A11","SLC4A11"
"Atrn","ATRN","ATRN"
"Gfra4","GFRA4","GFRA4"
"Adam33","ADAM33","ADAM33"
"Siglec1","SIGLEC1","SIGLEC1"
"Hspa12b","HSPA12B","HSPA12B"
"RGD1311739","ADISSP","ADISSP"
"Spef1","SPEF1","SPEF1"
"Cenpb","CENPB","CENPB"
"Cdc25b","CDC25B","CDC25B"
"Ap5s1","AP5S1","AP5S1"
"Mavs","MAVS","MAVS"
"Pank2","PANK2","PANK2"
"Mir103a2","MIR103A2",NA
"Rnf24","RNF24","RNF24"
"Smox","SMOX","SMOX"
"Adra1d","ADRA1D","ADRA1D"
"Prnp","PRNP","PRNP"
"Prnd","PRND","PRND"
"Rassf2","RASSF2","RASSF2"
"Slc23a2","SLC23A2","SLC23A2"
"Pcna","PCNA","PCNA"
"Cds2","CDS2","CDS2"
"Prokr2","PROKR2","PROKR2"
"Gpcpd1","GPCPD1","GPCPD1"
"Shld1","SHLD1","SHLD1"
"Chgb","CHGB","CHGB"
"Trmt6","TRMT6","TRMT6"
"Mcm8","MCM8","MCM8"
"Crls1","CRLS1","CRLS1"
"Lrrn4","LRRN4","LRRN4"
"Fermt1","FERMT1","FERMT1"
"Bmp2","BMP2","BMP2"
"Tmx4","TMX4","TMX4"
"Plcb1","PLCB1","PLCB1"
"Plcb4","PLCB4","PLCB4"
"Lamp5","LAMP5","LAMP5"
"Pak5","PAK5","PAK5"
"Ankef1","ANKEF1","ANKEF1"
"Snap25","SNAP25","SNAP25"
"Mkks","MKKS","MKKS"
"Slx4ip","SLX4IP","SLX4IP"
"Jag1","JAG1","JAG1"
"Btbd3","BTBD3","BTBD3"
"Ism1","ISM1","ISM1"
"Tasp1","TASP1","TASP1"
"Esf1","ESF1","ESF1"
"Ndufaf5","NDUFAF5","NDUFAF5"
"Flrt3","FLRT3","FLRT3"
"Snrpb2","SNRPB2","SNRPB2"
"Otor","OTOR","OTOR"
"Pcsk2","PCSK2","PCSK2"
"Bfsp1","BFSP1","BFSP1"
"Rrbp1","RRBP1","RRBP1"
"Banf2","BANF2",NA
"Snx5","SNX5","SNX5"
"Mgme1","MGME1","MGME1"
"Ovol2","OVOL2","OVOL2"
"Kat14","KAT14","KAT14"
"Zfp133","ZNF133","ZNF133"
"Dzank1","DZANK1","DZANK1"
"Polr3f","POLR3F","POLR3F"
"Rbbp9","RBBP9","RBBP9"
"Sec23b","SEC23B","SEC23B"
"Smim26","SMIM26","SMIM26"
"Dtd1","DTD1","DTD1"
"Scp2d1","SCP2D1","SCP2D1"
"Slc24a3","SLC24A3","SLC24A3"
"Rin2","RIN2","RIN2"
"Naa20","NAA20","NAA20"
"Crnkl1","CRNKL1","CRNKL1"
"Cfap61","CFAP61","CFAP61"
"Insm1","INSM1","INSM1"
"Ralgapa2","RALGAPA2","RALGAPA2"
"Kiz","KIZ","KIZ"
"Xrn2","XRN2","XRN2"
